Banco;Red;Direccion;Terminales;Web;Actualización;Lon;Lat
Banco Galicia;Banelco;ENTRE RIOS AV. 1145;2;http://www.banelco.com/;mar-15;-58.391.742.066.966.700;-34.622.098.872.853.500
HSBC Argentina;Banelco;ENTRE RIOS AV. 1150;2;http://www.banelco.com/;mar-15;-58.391.303.848.234.400;-3.462.212.736.209.190
Banco Santander Río;Banelco;ENTRE RIOS AV. 1692;2;http://www.banelco.com/;mar-15;-58.390.855.898.440.200;-34.628.081.471.567.200
ICBC;Banelco;ENTRE RIOS AV. 2000;2;http://www.banelco.com/;mar-15;-58.390.479.812.990.100;-34.631.451.350.837.200
Banco Patagonia;Banelco;ENTRE RIOS AV. 555;2;http://www.banelco.com/;mar-15;-58.391.882.480.401.900;-3.461.534.990.384.220
Banco Galicia;Banelco;PERON, EVA AV. 3760;3;http://www.banelco.com/;mar-15;-58.467.461.348.013.500;-34.646.868.148.474.400
Banco Patagonia;Banelco;PERON, EVA AV. 4902;3;http://www.banelco.com/;mar-15;-58.478.774.561.225.600;-34.658.065.441.218.500
BBVA-Banco Francés;Banelco;PERON, EVA AV. 4941;1;http://www.banelco.com/;mar-15;-58.479.180.209.263.100;-34.657.859.073.901.100
Banco Santander Río;Banelco;FERNANDEZ DE LA CRUZ, F., GRAL. AV. 6212;2;http://www.banelco.com/;mar-15;-58.472.990.217.948.100;-34.685.717.746.272.700
Banco Patagonia;Banelco;BEIRO, FRANCISCO AV. 5491;1;http://www.banelco.com/;mar-15;-58.527.412.773.239.600;-3.461.552.926.278.520
ICBC;Banelco;FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4602;2;http://www.banelco.com/;mar-15;-5.846.038.311.004.970;-34.675.059.889.892.200
Banco Santander Río;Banelco;FERNANDEZ DE LA CRUZ, F., GRAL. AV. 809;2;http://www.banelco.com/;mar-15;-58.423.049.223.353.800;-3.464.275.872.554.020
Banco Supervielle;Banelco;FERNANDEZ DE LA CRUZ, F., GRAL. AV. 6545;2;http://www.banelco.com/;mar-15;-58.475.845.540.219.900;-34.687.761.497.149.700
Banco Macro;Banelco;BEIRO, FRANCISCO AV. 3599;1;http://www.banelco.com/;mar-15;-58.503.539.227.278.400;-3.460.056.971.925.020
Banco Galicia;Banelco;BEIRO, FRANCISCO AV. 4229;2;http://www.banelco.com/;mar-15;-58.510.928.287.369.000;-34.605.097.567.657.700
ICBC;Banelco;BEIRO, FRANCISCO AV. 4410;2;http://www.banelco.com/;mar-15;-58.512.862.620.438.300;-34.606.737.762.140.800
Banco Santander Río;Banelco;BEIRO, FRANCISCO AV. 5248;2;http://www.banelco.com/;mar-15;-58.524.152.895.519.400;-34.613.622.290.283.300
Banco Comafi;Banelco;BEIRO, FRANCISCO AV. 5265;1;http://www.banelco.com/;mar-15;-58.524.697.253.123.600;-34.613.552.807.940.700
Banco Galicia;Banelco;BEIRO, FRANCISCO AV. 5289;3;http://www.banelco.com/;mar-15;-58.525.030.954.100.000;-34.613.705.168.696.100
BBVA-Banco Francés;Banelco;LACROZE, FEDERICO AV. 2451;1;http://www.banelco.com/;mar-15;-58.445.540.160.549.200;-34.570.714.652.451.100
Banco Galicia;Banelco;LACROZE, FEDERICO AV. 3101;4;http://www.banelco.com/;mar-15;-58.449.117.870.909.200;-34.577.061.084.800.400
Banco Santander Río;Banelco;FIGUEROA ALCORTA, PRES. AV. 2263;1;http://www.banelco.com/;mar-15;-58.392.288.492.682.800;-34.582.874.887.896.100
Banco Santander Río;Banelco;FOREST AV. 1187;2;http://www.banelco.com/;mar-15;-58.459.806.952.499.700;-34.578.478.719.786.000
Banco Galicia;Banelco;FOREST AV. 600;3;http://www.banelco.com/;mar-15;-58.453.902.422.124.500;-34.585.510.953.443.400
Banco Supervielle;Banelco;BEIRO, FRANCISCO AV. 3180;2;http://www.banelco.com/;mar-15;-58.497.853.632.836.900;-34.597.460.977.303.200
BBVA-Banco Francés;Banelco;BEIRO, FRANCISCO AV. 4359;1;http://www.banelco.com/;mar-15;-58.512.545.303.681.700;-34.606.092.908.382.100
Banco Patagonia;Banelco;BEIRO, FRANCISCO AV. 5491;1;http://www.banelco.com/;mar-15;-58.527.412.773.239.600;-3.461.552.926.278.520
Banco Patagonia;Banelco;GAONA AV. 1129;1;http://www.banelco.com/;mar-15;-58.446.274.549.319.700;-34.607.435.348.787.600
BBVA-Banco Francés;Banelco;GAONA AV. 2508;1;http://www.banelco.com/;mar-15;-58.461.876.908.606.800;-34.614.999.163.910.900
Banco Galicia;Banelco;GAONA AV. 3496;2;http://www.banelco.com/;mar-15;-58.473.988.177.311.200;-34.620.605.975.538.300
BBVA-Banco Francés;Banelco;GAONA AV. 3720;2;http://www.banelco.com/;mar-15;-58.476.841.533.598.900;-34.622.095.083.561.300
Banco Santander Río;Banelco;GAONA AV. 3800;2;http://www.banelco.com/;mar-15;-58.477.585.208.780.500;-34.622.484.644.380.700
Banco Galicia;Banelco;PAZ, GRAL. AV. 12950;1;http://www.banelco.com/;mar-15;-58.514.383.370.214.600;-34.664.127.254.211.000
Banco Itaú;Banelco;PUEYRREDON, HONORIO, DR. AV. 1651;1;http://www.banelco.com/;mar-15;-58.449.866.418.298.200;-34.602.194.739.805.100
Citibank;Banelco;INDEPENDENCIA AV. 1847;1;http://www.banelco.com/;mar-15;-58.392.417.630.616.400;-3.461.801.447.561.200
Banco Itaú;Banelco;BULLRICH, INT. AV. 345;1;http://www.banelco.com/;mar-15;-5.842.556.593.350.240;-34.575.071.208.736.900
Banco Galicia;Banelco;BULLRICH, INT. AV. 345;2;http://www.banelco.com/;mar-15;-5.842.556.593.350.240;-34.575.071.208.736.900
ICBC;Banelco;ALBERDI, JUAN BAUTISTA AV. 5754;2;http://www.banelco.com/;mar-15;-58.501.618.617.210.600;-34.651.058.197.802.100
Banco Itaú;Banelco;ALBERDI, JUAN BAUTISTA AV. 5977;1;http://www.banelco.com/;mar-15;-58.503.972.973.061.400;-34.652.748.347.067.900
Banco Santander Río;Banelco;ALBERDI, JUAN BAUTISTA AV. 6224;3;http://www.banelco.com/;mar-15;-58.505.756.795.946.100;-34.654.740.126.567.100
HSBC Argentina;Banelco;ALBERDI, JUAN BAUTISTA AV. 7401;1;http://www.banelco.com/;mar-15;-58.516.903.406.430.000;-34.661.486.039.517.000
Banco Macro;Banelco;GARAY, JUAN DE AV. 3599;1;http://www.banelco.com/;mar-15;-58.415.748.989.792.600;-34.631.181.824.765.600
Banco Itaú;Banelco;ALBERDI, JUAN BAUTISTA AV. 7283;1;http://www.banelco.com/;mar-15;-58.515.432.958.589.700;-34.660.611.855.026.500
Banco Galicia;Banelco;JUSTO, JUAN B. AV. 6629;2;http://www.banelco.com/;mar-15;-58.485.174.422.342.200;-34.624.657.182.791.400
ICBC;Banelco;ALBERDI, JUAN BAUTISTA AV. 5754;1;http://www.banelco.com/;mar-15;-58.501.618.617.210.600;-34.651.058.197.802.100
Banco Supervielle;Banelco;MORENO, JOSE MARIA AV. 230;2;http://www.banelco.com/;mar-15;-58.435.194.699.775.900;-3.462.061.186.280.520
Banco Itaú;Banelco;ALBERDI, JUAN BAUTISTA AV. 5985;2;http://www.banelco.com/;mar-15;-58.504.042.482.121.500;-34.652.814.814.815.500
Banco Santander Río;Banelco;ALBERDI, JUAN BAUTISTA AV. 1617;2;http://www.banelco.com/;mar-15;-58.451.437.116.300.700;-34.626.964.456.091.100
Banco Patagonia;Banelco;ALBERDI, JUAN BAUTISTA AV. 5002;3;http://www.banelco.com/;mar-15;-58.496.014.016.122.100;-34.645.871.645.818.700
Banco Galicia;Banelco;ALBERDI, JUAN BAUTISTA AV. 5859;2;http://www.banelco.com/;mar-15;-58.502.906.433.549.100;-34.651.728.406.276.500
Citibank;Banelco;ALBERDI, JUAN BAUTISTA AV. 6429;1;http://www.banelco.com/;mar-15;-58.507.561.852.385.500;-34.655.587.791.176.200
Banco Galicia;Banelco;JUSTO, JUAN B. AV. 4802;2;http://www.banelco.com/;mar-15;-58.466.574.756.816.900;-34.610.831.669.294.300
BBVA-Banco Francés;Banelco;JUSTO, JUAN B. AV. 7132;1;http://www.banelco.com/;mar-15;-5.849.121.274.823.660;-34.627.323.282.734.200
HSBC Argentina;Banelco;MANSO JUANA 1182;2;http://www.banelco.com/;mar-15;-58.362.353.011.941.800;-34.611.404.851.639.100
Banco Galicia;Banelco;ROCA, JULIO A., PRESIDENTE AV. 538;2;http://www.banelco.com/;mar-15;-58.373.819.263.776.100;-34.609.653.591.999.000
Banco Itaú;Banelco;JURAMENTO AV. 2013;1;http://www.banelco.com/;mar-15;-5.845.320.391.146.390;-34.559.786.654.563.300
HSBC Argentina;Banelco;ALEM, LEANDRO N. AV. 1058;2;http://www.banelco.com/;mar-15;-58.372.897.862.488.200;-34.595.585.646.020.700
HSBC Argentina;Banelco;ALEM, LEANDRO N. AV. 653;3;http://www.banelco.com/;mar-15;-58.370.445.839.034.600;-34.600.015.205.586.100
Banco Galicia;Banelco;ALEM, LEANDRO N. AV. 1190;2;http://www.banelco.com/;mar-15;-58.373.881.236.031.600;-34.593.956.774.044.300
Banco Galicia;Banelco;ALEM, LEANDRO N. AV. 651;2;http://www.banelco.com/;mar-15;-58.370.440.303.574.800;-34.600.037.039.812.400
HSBC Argentina;Banelco;ALEM, LEANDRO N. AV. 653;4;http://www.banelco.com/;mar-15;-58.370.445.839.034.600;-34.600.015.205.586.100
Banco Galicia;Banelco;ALEM, LEANDRO N. AV. 910;2;http://www.banelco.com/;mar-15;-5.837.224.833.956.260;-34.597.087.982.194.400
BBVA-Banco Francés;Banelco;ALEM, LEANDRO N. AV. 996;2;http://www.banelco.com/;mar-15;-58.372.559.569.437.500;-34.596.281.090.795.100
Banco Santander Río;Banelco;ALEM, LEANDRO N. AV. 456;4;http://www.banelco.com/;mar-15;-58.370.641.213.690.900;-34.602.298.220.328.200
Banco Santander Río;Banelco;ALEM, LEANDRO N. AV. 855;2;http://www.banelco.com/;mar-15;-58.371.082.593.395.800;-34.597.797.528.713.300
Banco Santander Río;Banelco;LA PLATA AV. 1031;3;http://www.banelco.com/;mar-15;-58.426.874.626.104.000;-34.627.450.613.622.400
Banco Santander Río;Banelco;LA PLATA AV. 140;4;http://www.banelco.com/;mar-15;-5.842.871.260.760.670;-34.616.547.111.626.900
Banco Galicia;Banelco;LA PLATA AV. 1768;1;http://www.banelco.com/;mar-15;-58.424.362.272.007.000;-34.635.994.227.864.300
Banco Galicia;Banelco;LA PLATA AV. 2402;2;http://www.banelco.com/;mar-15;-58.422.591.897.121.400;-3.464.282.424.375.630
Banco Galicia;Banelco;LA PLATA AV. 293;1;http://www.banelco.com/;mar-15;-58.428.785.994.422.900;-34.618.228.011.924.300
BBVA-Banco Francés;Banelco;LA PLATA AV. 510;2;http://www.banelco.com/;mar-15;-58.427.826.908.859.000;-34.620.790.391.390.200
Banco Supervielle;Banelco;LA PLATA AV. 537;2;http://www.banelco.com/;mar-15;-58.428.206.039.658.200;-3.462.110.998.930.220
Banco Santander Río;Banelco;LAS HERAS, GENERAL 1602;2;http://www.banelco.com/;mar-15;-58.390.193.543.220.100;-34.593.344.502.249.600
BBVA-Banco Francés;Banelco;LAS HERAS GENERAL AV. 2332;1;http://www.banelco.com/;mar-15;-58.397.944.186.335.600;-34.587.083.657.455.000
Banco Supervielle;Banelco;LAS HERAS GENERAL AV. 2401;1;http://www.banelco.com/;mar-15;-58.398.103.848.026.500;-34.586.406.344.063.500
HSBC Argentina;Banelco;LAS HERAS GENERAL AV. 2958;2;http://www.banelco.com/;mar-15;-58.403.166.351.143.400;-3.458.361.623.638.290
HSBC Argentina;Banelco;LAS HERAS GENERAL AV. 2958;3;http://www.banelco.com/;mar-15;-58.403.166.351.143.400;-3.458.361.623.638.290
ICBC;Banelco;LAS HERAS GENERAL AV. 3001;2;http://www.banelco.com/;mar-15;-58.404.068.686.325.700;-34.583.262.650.692.600
Banco Itaú;Banelco;LAS HERAS GENERAL AV. 3015;3;http://www.banelco.com/;mar-15;-58.404.247.715.721.800;-34.583.264.041.642.000
Banco Santander Río;Banelco;LAS HERAS GENERAL AV. 3201;2;http://www.banelco.com/;mar-15;-58.406.233.600.652.100;-34.583.255.893.892.000
Citibank;Banelco;LAS HERAS GENERAL AV. 3581;1;http://www.banelco.com/;mar-15;-58.409.912.798.112.800;-34.582.129.422.714.800
Banco Macro;Banelco;LAS HERAS GENERAL AV. 3701;1;http://www.banelco.com/;mar-15;-58.411.141.390.446.200;-34.581.753.911.841.700
Banco Galicia;Banelco;LAS HERAS GENERAL AV. 3799;2;http://www.banelco.com/;mar-15;-58.412.459.092.116.000;-34.581.672.979.684.600
HSBC Argentina;Banelco;ALEM, LEANDRO N. AV. 1058;1;http://www.banelco.com/;mar-15;-58.372.897.862.488.200;-34.595.585.646.020.700
Banco Patagonia;Banelco;ALEM, LEANDRO N. AV. 1064;3;http://www.banelco.com/;mar-15;-58.373.037.580.464.100;-34.595.321.667.242.000
Banco Itaú;Banelco;ALEM, LEANDRO N. AV. 880;2;http://www.banelco.com/;mar-15;-58.371.926.873.478.700;-34.597.374.636.643.000
Banco Itaú;Banelco;DEL LIBERTADOR AV. 5767;1;http://www.banelco.com/;mar-15;-58.445.595.635.137.300;-34.558.807.398.099.300
Citibank;Banelco;DEL LIBERTADOR AV. 6363;1;http://www.banelco.com/;mar-15;-5.845.043.120.747.970;-3.455.318.867.505.280
Banco Supervielle;Banelco;DEL LIBERTADOR AV. 6597;2;http://www.banelco.com/;mar-15;-58.452.011.779.773.800;-34.551.311.207.793.400
Banco Galicia;Banelco;DEL LIBERTADOR AV. 6876;1;http://www.banelco.com/;mar-15;-5.845.495.594.909.070;-34.548.978.390.151.900
Citibank;Banelco;DEL LIBERTADOR AV. 750;1;http://www.banelco.com/;mar-15;-58.383.499.030.651.900;-34.588.164.705.153.100
Banco Patagonia;Banelco;DEL LIBERTADOR AV. 8108;1;http://www.banelco.com/;mar-15;-58.464.103.784.578.300;-34.540.669.847.523.600
Banco Macro;Banelco;CAMPOS, LUIS M. AV. 1029;1;http://www.banelco.com/;mar-15;-5.843.832.435.889.500;-34.566.847.927.371.400
Banco Santander Río;Banelco;CAMPOS, LUIS M. AV. 1175;3;http://www.banelco.com/;mar-15;-58.439.933.455.399.700;-34.565.452.335.051.400
Banco Supervielle;Banelco;CAMPOS, LUIS M. AV. 1201;1;http://www.banelco.com/;mar-15;-58.440.331.875.134.900;-34.565.167.608.537.000
Banco Galicia;Banelco;CAMPOS, LUIS M. AV. 1349;2;http://www.banelco.com/;mar-15;-58.441.745.630.779.500;-34.564.022.484.793.600
BBVA-Banco Francés;Banelco;CAMPOS, LUIS M. AV. 1383;1;http://www.banelco.com/;mar-15;-58.442.158.962.543.400;-34.563.722.394.314.900
Banco Patagonia;Banelco;CAMPOS, LUIS M. AV. 726;1;http://www.banelco.com/;mar-15;-58.436.120.277.224.200;-34.570.111.645.382.400
Banco Itaú;Banelco;CAMPOS, LUIS M. AV. 1407;1;http://www.banelco.com/;mar-15;-58.442.570.214.587.000;-34.563.423.804.116.900
HSBC Argentina;Banelco;GARCIA, MARTIN AV. 402;4;http://www.banelco.com/;mar-15;-58.370.828.385.245.500;-34.629.914.471.169.000
BBVA-Banco Francés;Banelco;GARCIA, MARTIN AV. 702;1;http://www.banelco.com/;mar-15;-58.373.422.922.755.200;-34.632.641.808.990.800
Banco Santander Río;Banelco;MONROE 3098;1;http://www.banelco.com/;mar-15;-58.466.122.297.706.200;-34.562.140.341.016.700
Banco Itaú;Banelco;MONTES DE OCA, MANUEL 1022;1;http://www.banelco.com/;mar-15;-58.374.149.935.040.900;-34.639.885.787.423.600
BBVA-Banco Francés;Banelco;MONTES DE OCA, MANUEL 1107;1;http://www.banelco.com/;mar-15;-58.374.408.701.608.400;-34.640.843.540.764.300
Banco Galicia;Banelco;MONTES DE OCA, MANUEL 650;2;http://www.banelco.com/;mar-15;-5.837.491.220.549.810;-34.635.750.223.029.400
Banco Patagonia;Banelco;MONTES DE OCA, MANUEL 701;1;http://www.banelco.com/;mar-15;-58.375.243.604.654.500;-34.636.323.030.612.500
Banco Supervielle;Banelco;MONTES DE OCA, MANUEL 736;1;http://www.banelco.com/;mar-15;-58.374.754.556.418.500;-3.463.656.844.659.590
HSBC Argentina;Banelco;MOSCONI GENERAL AV. 3525;2;http://www.banelco.com/;mar-15;-58.510.675.149.206.900;-34.591.223.934.262.800
BBVA-Banco Francés;Banelco;NAZCA AV. 1922;1;http://www.banelco.com/;mar-15;-58.480.981.302.948.400;-34.612.293.743.062.300
Banco Galicia;Banelco;NAZCA AV. 2330;3;http://www.banelco.com/;mar-15;-58.483.895.113.945.700;-34.608.644.609.811.200
BBVA-Banco Francés;Banelco;PASEO COLON AV. 505;1;http://www.banelco.com/;mar-15;-58.369.732.308.730.100;-34.613.671.709.771.700
Banco Patagonia;Banelco;PASEO COLON AV. 515;3;http://www.banelco.com/;mar-15;-58.369.727.444.166.100;-34.613.786.192.423.700
Banco Galicia;Banelco;PASEO COLON AV. 793;2;http://www.banelco.com/;mar-15;-58.369.623.237.402.200;-34.616.987.965.809.200
Banco Galicia;Banelco;PASEO COLON AV. 849;1;http://www.banelco.com/;mar-15;-5.836.973.982.495.430;-34.617.881.769.433.400
BBVA-Banco Francés;Banelco;GOYENA, PEDRO AV. 1192;2;http://www.banelco.com/;mar-15;-58.444.202.018.083.700;-34.627.128.886.617.200
Banco Supervielle;Banelco;GOYENA, PEDRO AV. 1291;2;http://www.banelco.com/;mar-15;-58.445.447.323.287.500;-34.626.987.212.962.800
Banco Galicia;Banelco;GOYENA, PEDRO AV. 1642;2;http://www.banelco.com/;mar-15;-58.451.253.439.931.400;-34.628.487.468.566.700
BBVA-Banco Francés;Banelco;PUEYRREDON AV. 1001;1;http://www.banelco.com/;mar-15;-58.403.501.937.845.500;-34.598.365.519.613.500
Banco Santander Río;Banelco;PUEYRREDON AV. 1055;3;http://www.banelco.com/;mar-15;-5.840.334.297.426.840;-34.598.001.856.120.000
ICBC;Banelco;PUEYRREDON AV. 1657;2;http://www.banelco.com/;mar-15;-58.401.027.562.499.600;-34.592.048.739.092.600
Banco Galicia;Banelco;PUEYRREDON AV. 1845;3;http://www.banelco.com/;mar-15;-58.399.914.526.126.800;-34.589.779.203.974.900
Banco Itaú;Banelco;PUEYRREDON AV. 1855;1;http://www.banelco.com/;mar-15;-58.399.863.968.948.400;-34.589.677.635.621.500
Banco Santander Río;Banelco;PUEYRREDON AV. 1914;4;http://www.banelco.com/;mar-15;-58.399.810.288.047.100;-34.588.884.198.239.200
HSBC Argentina;Banelco;PUEYRREDON AV. 2325;3;http://www.banelco.com/;mar-15;-58.395.781.969.488.900;-34.586.962.002.027.300
Banco Itaú;Banelco;PUEYRREDON AV. 1855;1;http://www.banelco.com/;mar-15;-58.399.863.968.948.400;-34.589.677.635.621.500
Banco Galicia;Banelco;QUINTANA, MANUEL, PRES. 101;2;http://www.banelco.com/;mar-15;-58.386.026.515.343.900;-3.459.134.752.665.230
Banco Galicia;Banelco;QUINTANA, MANUEL, PRES. AV. 401;3;http://www.banelco.com/;mar-15;-58.388.999.349.159.300;-34.588.910.050.424.900
Banco Comafi;Banelco;QUINTANA, MANUEL, PRES. AV. 439;1;http://www.banelco.com/;mar-15;-58.389.208.985.424.600;-34.588.678.260.133.000
Banco Itaú;Banelco;QUINTANA, MANUEL, PRES. AV. 587;1;http://www.banelco.com/;mar-15;-58.390.513.333.515.400;-34.587.671.041.650.700
Banco Macro;Banelco;QUINTANA, MANUEL, PRES. 99;1;http://www.banelco.com/;mar-15;-58.385.810.495.370.400;-34.591.492.449.276.700
Banco Comafi;Banelco;SAENZ PEÑA, ROQUE, PRES. AV. 660;1;http://www.banelco.com/;mar-15;-58.376.179.088.933.400;-34.606.784.415.189.900
ICBC;Banelco;SAENZ PEÑA, ROQUE, PRES. AV. 567;8;http://www.banelco.com/;mar-15;-58.374.404.238.654.000;-34.607.298.586.283.900
Banco Comafi;Banelco;SAENZ PEÑA, ROQUE, PRES. AV. 660;2;http://www.banelco.com/;mar-15;-58.376.179.088.933.400;-34.606.784.415.189.900
Banco Santander Río;Banelco;SAENZ PEÑA, ROQUE, PRES. AV. 844;2;http://www.banelco.com/;mar-15;-58.378.689.519.527.600;-34.605.483.391.453.100
Banco Galicia;Banelco;SAENZ PEÑA, ROQUE, PRES. AV. 865;3;http://www.banelco.com/;mar-15;-58.378.755.823.062.700;-34.605.021.491.583.700
BBVA-Banco Francés;Banelco;SAENZ PEÑA, ROQUE, PRES. AV. 777;1;http://www.banelco.com/;mar-15;-5.837.733.675.379.020;-34.605.766.334.622.800
HSBC Argentina;Banelco;OBLIGADO RAFAEL, AV.COSTANERA 1221;1;http://www.banelco.com/;mar-15;-58.395.475.562.578.200;-34.571.547.665.069.800
Banco Galicia;Banelco;BALBIN, RICARDO, DR. AV. 3899;3;http://www.banelco.com/;mar-15;-58.485.120.768.574.600;-34.554.683.911.925.600
HSBC Argentina;Banelco;BALBIN, RICARDO, DR. AV. 4027;1;http://www.banelco.com/;mar-15;-58.487.024.460.971.700;-34.554.728.735.525.400
HSBC Argentina;Banelco;RIVADAVIA AV. 11200;1;http://www.banelco.com/;mar-15;-58.522.388.227.109.400;-34.639.063.457.642.700
Banco Galicia;Banelco;RIVADAVIA AV. 11102;2;http://www.banelco.com/;mar-15;-58.521.371.610.054.200;-34.639.104.690.577.100
Banco Santander Río;Banelco;RIVADAVIA AV. 11120;2;http://www.banelco.com/;mar-15;-58.521.505.492.070.800;-34.639.096.100.298.300
Banco Macro;Banelco;RIVADAVIA AV. 11178;2;http://www.banelco.com/;mar-15;-58.522.129.445.296.100;-34.639.063.584.018.600
BBVA-Banco Francés;Banelco;RIVADAVIA AV. 11190;1;http://www.banelco.com/;mar-15;-5.852.224.651.628.200;-34.639.068.620.056.100
Banco Patagonia;Banelco;RIVADAVIA AV. 11334;2;http://www.banelco.com/;mar-15;-58.524.169.087.467.600;-34.639.151.090.401.600
Banco Supervielle;Banelco;RIVADAVIA AV. 11494;3;http://www.banelco.com/;mar-15;-58.526.287.867.560.500;-34.639.320.229.569.800
Banco Galicia;Banelco;RIVADAVIA AV. 2330;3;http://www.banelco.com/;mar-15;-58.399.490.589.082.200;-34.609.910.064.628.500
HSBC Argentina;Banelco;RIVADAVIA AV. 2470;4;http://www.banelco.com/;mar-15;-5.840.129.300.308.360;-34.610.038.189.363.500
Banco Itaú;Banelco;RIVADAVIA AV. 2556;2;http://www.banelco.com/;mar-15;-58.402.611.381.334.800;-34.610.115.067.772.800
Banco Itaú;Banelco;RIVADAVIA AV. 2556;1;http://www.banelco.com/;mar-15;-58.402.611.381.334.800;-34.610.115.067.772.800
Banco Macro;Banelco;RIVADAVIA AV. 3202;2;http://www.banelco.com/;mar-15;-58.411.867.808.221.300;-34.610.707.397.735.500
Banco Santander Río;Banelco;RIVADAVIA AV. 3681;2;http://www.banelco.com/;mar-15;-58.418.262.787.639.500;-34.610.825.608.494.000
Banco Galicia;Banelco;RIVADAVIA AV. 3702;3;http://www.banelco.com/;mar-15;-58.418.488.892.872.500;-3.461.120.462.994.690
HSBC Argentina;Banelco;RIVADAVIA AV. 3977;1;http://www.banelco.com/;mar-15;-58.422.078.584.302.000;-34.611.727.938.647.200
BBVA-Banco Francés;Banelco;RIVADAVIA AV. 4059;1;http://www.banelco.com/;mar-15;-58.423.145.882.510.800;-34.612.200.112.690.400
Banco Patagonia;Banelco;RIVADAVIA AV. 4100;2;http://www.banelco.com/;mar-15;-58.423.444.268.854.700;-34.612.741.077.031.900
Banco Santander Río;Banelco;RIVADAVIA AV. 4364;3;http://www.banelco.com/;mar-15;-58.426.934.634.595.900;-34.614.284.953.935.800
Banco Itaú;Banelco;RIVADAVIA AV. 4715;3;http://www.banelco.com/;mar-15;-58.431.912.966.242.200;-3.461.607.979.812.660
Citibank;Banelco;RIVADAVIA AV. 4917;2;http://www.banelco.com/;mar-15;-58.434.618.422.737.700;-3.461.727.994.226.650
HSBC Argentina;Banelco;RIVADAVIA AV. 5075;1;http://www.banelco.com/;mar-15;-58.437.514.126.963.400;-34.618.565.456.500.700
Banco Patagonia;Banelco;RIVADAVIA AV. 5108;1;http://www.banelco.com/;mar-15;-5.843.775.432.441.340;-3.461.908.136.084.310
Banco Santander Río;Banelco;RIVADAVIA AV. 5173;3;http://www.banelco.com/;mar-15;-58.438.762.929.859.400;-34.619.119.850.464.600
HSBC Argentina;Banelco;RIVADAVIA AV. 5201;4;http://www.banelco.com/;mar-15;-58.439.197.201.760.000;-34.619.318.970.842.700
ICBC;Banelco;RIVADAVIA AV. 5234;1;http://www.banelco.com/;mar-15;-58.439.327.388.958.000;-3.461.977.970.250.030
Banco Macro;Banelco;RIVADAVIA AV. 5273;2;http://www.banelco.com/;mar-15;-58.440.008.282.357.700;-34.619.672.687.663.600
Banco Comafi;Banelco;RIVADAVIA AV. 5288;1;http://www.banelco.com/;mar-15;-58.439.968.037.941.200;-34.620.064.092.437.800
BBVA-Banco Francés;Banelco;RIVADAVIA AV. 5300;2;http://www.banelco.com/;mar-15;-58.440.110.405.194.100;-34.620.127.288.465.300
Banco Galicia;Banelco;RIVADAVIA AV. 5306;4;http://www.banelco.com/;mar-15;-58.440.217.344.991.500;-34.620.174.729.004.800
Banco Itaú;Banelco;RIVADAVIA AV. 5315;3;http://www.banelco.com/;mar-15;-58.440.525.976.879.200;-34.619.902.415.696.400
Banco Macro;Banelco;RIVADAVIA AV. 6245;1;http://www.banelco.com/;mar-15;-58.454.732.500.750.300;-34.625.704.864.451.100
ICBC;Banelco;RIVADAVIA AV. 6312;2;http://www.banelco.com/;mar-15;-58.455.452.850.119.200;-34.626.383.110.853.400
Banco Supervielle;Banelco;RIVADAVIA AV. 6411;2;http://www.banelco.com/;mar-15;-58.456.948.973.713.500;-34.626.564.071.498.000
BBVA-Banco Francés;Banelco;RIVADAVIA AV. 6483;1;http://www.banelco.com/;mar-15;-58.457.728.191.825.000;-34.626.884.471.493.700
HSBC Argentina;Banelco;RIVADAVIA AV. 6626;3;http://www.banelco.com/;mar-15;-58.459.017.259.391.400;-34.627.817.236.408.200
Banco Comafi;Banelco;RIVADAVIA AV. 6770;1;http://www.banelco.com/;mar-15;-58.460.692.922.967.900;-34.628.440.710.369.800
Banco Santander Río;Banelco;RIVADAVIA AV. 6902;4;http://www.banelco.com/;mar-15;-58.462.784.741.802.100;-3.462.905.072.865.470
Citibank;Banelco;RIVADAVIA AV. 6928;1;http://www.banelco.com/;mar-15;-58.462.997.769.571.500;-34.629.122.255.815.200
Banco Itaú;Banelco;RIVADAVIA AV. 7060;2;http://www.banelco.com/;mar-15;-5.846.486.461.749.010;-34.629.659.307.131.200
Banco Galicia;Banelco;RIVADAVIA AV. 7121;3;http://www.banelco.com/;mar-15;-58.465.893.016.425.600;-34.629.559.001.147.500
Banco Supervielle;Banelco;RIVADAVIA AV. 7275;1;http://www.banelco.com/;mar-15;-58.467.938.004.489.500;-34.630.082.437.201.400
Banco Galicia;Banelco;RIVADAVIA AV. 7530;1;http://www.banelco.com/;mar-15;-58.471.477.100.434.100;-34.631.398.630.043.300
Banco Santander Río;Banelco;RIVADAVIA AV. 8799;2;http://www.banelco.com/;mar-15;-58.487.681.085.440.000;-34.635.035.518.028.500
Banco Santander Río;Banelco;RIVADAVIA AV. 9711;2;http://www.banelco.com/;mar-15;-58.501.100.032.608.800;-34.637.483.739.673.200
Citibank;Banelco;ROCA, CNEL. AV. 6254;1;http://www.banelco.com/;mar-15;-58.464.027.363.827.200;-34.692.971.350.248.900
Banco Galicia;Banelco;ROCA, CNEL. AV. 6883;1;http://www.banelco.com/;mar-15;-58.469.321.883.759.100;-34.696.954.628.154.600
