Banco;Red;Direccion;Terminales;Web;Actualización;Lon;Lat
BBVA-Banco Francés;Banelco;MOREAU DE JUSTO, ALICIA AV. 228;1;http://www.banelco.com/;mar-15;-58.367.186.566.351.700;-34.601.254.294.609.100
BBVA-Banco Francés;Banelco;BROWN, ALTE. AV. 826;2;http://www.banelco.com/;mar-15;-58.360.493.605.941.900;-34.632.160.357.790.300
Banco Santander Río;Banelco;ALVAREZ JONTE AV. 4502;3;http://www.banelco.com/;mar-15;-58.502.460.527.504.500;-34.618.183.873.740.300
Banco Patagonia;Banelco;ALVAREZ JONTE AV. 4740;2;http://www.banelco.com/;mar-15;-58.505.117.116.322.000;-34.619.632.898.438.100
BBVA-Banco Francés;Banelco;ALVAREZ JONTE AV. 5255;1;http://www.banelco.com/;mar-15;-58.511.245.711.150.800;-34.623.657.847.663.200
Banco Galicia;Banelco;ALVEAR AV. 1331;1;http://www.banelco.com/;mar-15;-58.383.355.525.068.900;-34.591.201.496.351.700
BBVA-Banco Francés;Banelco;ALVEAR 1528;1;http://www.banelco.com/;mar-15;-58.385.333.561.181.300;-34.590.407.252.987.700
Banco Galicia;Banelco;GALLARDO, ANGEL AV. 1072;2;http://www.banelco.com/;mar-15;-58.445.153.011.674.100;-34.607.376.739.223.700
Banco Galicia;Banelco;ANTARTIDA ARGENTINA AV. 1160;1;http://www.banelco.com/;mar-15;-58.373.212.291.491.500;-34.587.617.457.652.500
Banco Patagonia;Banelco;ANTARTIDA ARGENTINA AV. 1355;1;http://www.banelco.com/;mar-15;-58.372.451.198.036.700;-34.585.075.389.481.900
BBVA-Banco Francés;Banelco;ASAMBLEA AV. 695;1;http://www.banelco.com/;mar-15;-58.435.686.698.164.700;-34.634.434.772.587.700
Banco Macro;Banelco;BELGRANO AV. 1358;1;http://www.banelco.com/;mar-15;-58.385.442.347.325.700;-3.461.357.164.303.760
Banco Macro;Banelco;BELGRANO AV. 1668;2;http://www.banelco.com/;mar-15;-5.838.987.205.183.140;-34.613.879.159.163.100
Banco Supervielle;Banelco;BELGRANO AV. 1783;4;http://www.banelco.com/;mar-15;-5.839.148.787.666.750;-34.613.623.584.804.400
BBVA-Banco Francés;Banelco;BELGRANO AV. 698;2;http://www.banelco.com/;mar-15;-58.376.067.410.150.100;-346.129.276.972.868
Banco Santander Río;Banelco;BELGRANO AV. 980;3;http://www.banelco.com/;mar-15;-58.380.140.860.768.200;-34.613.197.427.847.400
Banco Galicia;Banelco;BELGRANO AV. 992;3;http://www.banelco.com/;mar-15;-58.380.307.119.863.000;-34.613.208.541.407.900
Banco Supervielle;Banelco;BOEDO AV. 729;2;http://www.banelco.com/;mar-15;-58.416.684.615.892.600;-3.462.143.028.423.510
Banco Santander Río;Banelco;BOEDO AV. 802;3;http://www.banelco.com/;mar-15;-58.416.166.166.677.800;-34.622.572.290.949.900
HSBC Argentina;Banelco;BRASIL 1199;1;http://www.banelco.com/;mar-15;-58.382.659.736.746.800;-34.627.742.200.383.800
